step,score_value,n_cumul_links,num_total,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,reachability,F_value_2024,val_infeasible_day,val_total_day
1,1262.785222992448,1,10074017,10073147,870,0,10074017,99.99136392166103,0.00863607833895853,0.0,1.0,0.9999999978800045,0.0,1537.3871452015765
2,1250.1703714731348,2,10074017,10070193,3824,0,10074017,99.9620409614159,0.037959038584111975,0.0,1.0,0.9999999915865372,0.0,1537.3871452015765
3,1069.4761528790236,3,10074017,10063801,10216,0,10074017,99.8985906019416,0.1014093980583912,0.0,1.0,0.9999999864915775,0.0,1537.3871452015765
4,985.8846313607291,4,10074017,9981616,92401,0,10074017,99.08277899471481,0.9172210052851806,0.0,1.0,0.9999997814372981,0.0,1537.3871452015765
5,976.4782265417172,5,10074017,9979664,94353,0,10074017,99.06340241434971,0.9365975856502923,0.0,1.0,0.9999997810791645,0.0,1537.3871452015765
6,936.250199919072,6,10074017,9966352,107665,0,10074017,98.93126048923682,1.068739510763184,0.0,1.0,0.9999997577377373,0.0,1537.3871452015765
7,903.3063223543568,7,10074017,9535186,538831,0,10074017,94.65127962360992,5.348720376390074,0.0,1.0,0.9999923139306851,0.0,1537.3871452015765
8,900.2904830450029,8,10074017,9533429,540588,0,10074017,94.63383871597595,5.36616128402404,0.0,1.0,0.9999923117127271,0.0,1537.3871452015765
9,899.0653651245844,9,10074017,9527169,546848,0,10074017,94.57169865804276,5.428301341957235,0.0,1.0,0.9999921425524984,0.0,1537.3871452015765
10,880.045195709047,10,10074017,9525407,548610,0,10074017,94.55420811777466,5.445791882225333,0.0,1.0,0.9999921404620965,0.0,1537.3871452015765
11,825.4723306712297,11,10074017,9521618,545317,7082,10066935,94.51659650762949,5.413103829386033,0.07029966298448773,0.9992970033701551,0.9992891530591084,1.1834028002472663,1537.3871452015765
12,815.1892417532506,12,10074017,9451532,615403,7082,10066935,93.82088594847518,6.108814388540341,0.07029966298448773,0.9992970033701551,0.9992884249810499,1.1834028002472663,1537.3871452015765
13,804.4045596717181,13,10074017,9441124,625811,7082,10066935,93.71757065726611,6.212129679749399,0.07029966298448773,0.9992970033701551,0.9992883943832317,1.1834028002472663,1537.3871452015765
14,798.1616380508516,14,10074017,9180261,886674,7082,10066935,91.12810708975377,8.801593247261742,0.07029966298448773,0.9992970033701551,0.9992877747968631,1.1834028002472663,1537.3871452015765
15,783.8896719414033,15,10074017,9111688,955247,7082,10066935,90.44741536568779,9.482284971327722,0.07029966298448773,0.9992970033701551,0.999287583980367,1.1834028002472663,1537.3871452015765
16,755.588763468187,16,10074017,9105422,954479,14116,10059901,90.38521574859364,9.474661398725056,0.14012285268130875,0.9985987714731869,0.9985893550302253,1.8994071182858345,1537.3871452015765
17,745.2410203778081,17,10074017,8611813,1448088,14116,10059901,85.48539276834653,14.374484378972161,0.14012285268130875,0.9985987714731869,0.9985831387040119,1.8994071182858345,1537.3871452015765
